vessel,service,ata,atb,ats,liner,berth window,berth,berth status
MSC SARA ELENA FI 836A,IPANE-ASAS,13/10/18 20:00,13/10/18 21:50,14/10/18 20:10,MSC,14/10/2018 01:00,2,IN
MSC AZOV MM 840R,WMED,14/10/18 19:30,15/10/18 01:02,16/10/18 04:04,MSC,16/10/2018 01:00,3,IN
MSC MARTA UA 838A,USA-STRING,15/10/18 04:00,15/10/18 06:55,15/10/18 20:35,MSC,15/10/2018 07:00,1,IN
STELLAR WILLEMSTADT 051N,VITORIA,15/10/18 14:00,15/10/18 15:15,16/10/18 16:35,MSC,13/10/2018 19:00,2,OUT
MSC AMALFI MM 838A,WMED,16/10/18 22:00,16/10/18 23:25,17/10/18 11:38,MSC,17/10/2018 07:00,1,IN
UASC AL KHOR NA 838A,NWC1,17/10/18 19:15,17/10/18 21:00,18/10/18 14:05,HLC,18/10/2018 13:00,2,IN
CCNI ANDES NA 841R,NWC1,18/10/18 09:00,18/10/18 12:30,19/10/18 07:10,HLC,19/10/2018 19:00,3,IN
MOL ANCHORAGE 0840N,IPANE-ASAS,18/10/18 12:00,18/10/18 13:25,20/10/18 11:10,ONE,18/10/2018 13:00,1,IN
MSC CADIZ UA 841R,USA-STRING,19/10/18 04:00,19/10/18 05:53,19/10/18 23:18,MSC,19/10/2018 19:00,2,IN
MAERSK LAMANAI 1811,NEO BOSSA,19/10/18 18:00,19/10/18 20:45,20/10/18 12:10,MAE,20/10/2018 01:00,3,IN
CMA CGM MAGDALENA 0NS1CN1MA,NEO BOSSA,20/10/18 23:00,21/10/18 01:12,22/10/18 00:46,CMA,21/10/2018 01:00,1,IN
FERNÃO DE MAGALHÃES 053S,ALCT2,21/10/18 14:00,21/10/18 16:15,22/10/18 02:11,ALI,19/10/2018 13:00,3,OUT
MSC ELMA FI 837A,IPANE-ASAS,21/10/18 00:30,21/10/18 01:55,22/10/18 09:40,MSC,21/10/2018 01:00,2,IN
MSC ORIANE UA 839A,USA-STRING,22/10/18 04:00,22/10/18 05:28,22/10/18 20:17,MSC,22/10/2018 07:00,3,IN
MSC ADELAIDE MM 841R,WMED,22/10/18 06:00,22/10/18 07:35,23/10/18 11:10,MSC,23/10/2018 01:00,1,IN
STELLAR WILLEMSTADT 052N,VITORIA,21/10/18 18:25,22/10/18 12:05,23/10/18 17:12,MSC,20/10/2018 19:00,2,OUT
MSC PALAK NA 839A,NWC1,23/10/18 22:00,23/10/18 23:43,24/10/18 15:15,MSC,23/10/2018 19:00,2,OUT
VICENTE PINZON 041S,ALCT2,24/10/18 01:00,24/10/18 03:18,24/10/18 17:09,ALI,24/10/2018 19:00,3,IN
MSC NAOMI FI 841R,IPANE-ASAS,25/10/18 01:30,25/10/18 03:16,26/10/18 03:50,MSC,25/10/2018 13:00,1,IN
CSAV TRAIGUEN MM 839A,WMED,25/10/18 19:00,25/10/18 21:07,26/10/18 11:40,HLC,24/10/2018 07:00,2,OUT
MSC BRUNELLA NA 842R,NWC1,25/10/18 20:00,25/10/18 22:20,26/10/18 17:10,MSC,25/10/2018 07:00,3,OUT
MAERSK LOTA 1811,NEO BOSSA,26/10/18 16:00,26/10/18 20:25,27/10/18 16:11,MAE,27/10/2018 01:00,3,IN
MSC MARTA UA 842R,USA-STRING,26/10/18 20:00,27/10/18 00:00,27/10/18 23:40,MSC,26/10/2018 19:00,1,OUT
MSC ELOISE XA 839A,EXTRA CALL,27/10/18 21:40,28/10/18 03:20,28/10/18 18:25,MSC,EXTRA CALL,1,OUT
MAERSK LA PAZ 838W,IPANE-ASAS,27/10/18 20:00,27/10/18 21:32,29/10/18 05:10,MAE,28/10/2018 01:00,2,IN
MAERSK LABERINTO 1812,NEO BOSSA,27/10/18 21:00,27/10/18 22:30,29/10/18 06:10,MAE,28/10/2018 01:00,3,IN
MSC AMALFI MM 842R,WMED,29/10/18 19:30,29/10/18 22:11,30/10/18 18:42,MSC,30/10/2018 01:00,1,IN
MSC MARGARITA UA 840A,USA-STRING,30/10/18 07:00,30/10/18 09:10,31/10/18 02:05,MSC,29/10/2018 07:00,3,OUT
MONTE SARMIENTO 087S,ALCT2,31/10/18 23:00,01/11/18 00:35,01/11/18 10:20,ALI,31/10/2018 19:00,3,OUT
MSC AJACCIO MM 840A,WMED,31/10/18 19:00,31/10/18 21:53,01/11/18 12:04,MSC,31/10/2018 07:00,2,OUT
